count,path,loc
26,lib/engine/sms_processor.dart,196
16,lib/expense/expenses_screen.dart,121
15,lib/repository/expense_repository.dart,115
14,pubspec.yaml,96
14,lib/main.dart,107
13,lib/settings/main.dart,0
13,lib/expense/main.dart,0
12,lib/settings/templates/templates_screen.dart,102
12,lib/settings/templates/template_editor.dart,359
12,lib/repository/database_helper.dart,54
12,lib/model/expense.dart,79
12,lib/dashboard/cards/monthly_expenditure.dart,147
11,lib/dashboard/main.dart,0
10,lib/settings/templates/new_template_screen.dart,0
10,lib/dashboard/cards/expenses_by_categories.dart,123
9,lib/settings/new_template_screen.dart,0
9,lib/model/template.dart,54
8,lib/repository/dashboard_repository.dart,49
7,lib/settings/templates/message_selector.dart,78
7,lib/napkin_commons.dart,0
6,lib/repository/template_repository.dart,54
6,lib/engine/samples.md,60
5,lib/expense/expense_tile.dart,181
5,lib/dashboard/indicator.dart,38
5,android/app/src/main/AndroidManifest.xml,52
4,lib/napkin_colors.dart,0
4,lib/model/token.dart,28
4,lib/engine/forex_helper.dart,56
4,lib/engine/exceptions.dart,39
4,lib/engine/currency_registry.dart,178
4,android/app/build.gradle,77
3,test/widget_test.dart,0
3,lib/settings/thread_selector.dart,0
3,lib/settings/templates_screen.dart,0
3,lib/settings/settings_screen.dart,116
3,lib/expense/expense_editor.dart,195
3,lib/dashboard/dashboard_screen.dart,51
3,android/gradle.properties,4
2,lib/repository/template.dart,0
2,lib/model/rate.dart,11
2,lib/model/currency.dart,9
2,lib/model/conversation.dart,0
2,lib/model/category.dart,0
2,lib/engine/forex.dart,0
2,lib/commons/napkin_commons.dart,52
2,ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-83.5x83.5@2x.png,35
2,ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-76x76@2x.png,27
2,ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-76x76@1x.png,12
2,ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-60x60@3x.png,28
2,ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-60x60@2x.png,22
2,ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-40x40@3x.png,22
2,ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-40x40@2x.png,18
2,ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-40x40@1x.png,7
2,ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-29x29@3x.png,15
2,ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-29x29@2x.png,12
2,ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-29x29@1x.png,9
2,ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-20x20@3x.png,17
2,ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-20x20@2x.png,7
2,ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-20x20@1x.png,5
2,ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-1024x1024@1x.png,183
2,ios/Runner.xcodeproj/project.pbxproj,494
2,assets/dashboard.svg,0
2,android/gradle/wrapper/gradle-wrapper.properties,6
2,android/app/src/main/res/mipmap-xxxhdpi/ic_launcher.png,30
2,android/app/src/main/res/mipmap-xxhdpi/ic_launcher.png,26
2,android/app/src/main/res/mipmap-xhdpi/ic_launcher.png,20
2,android/app/src/main/res/mipmap-mdpi/ic_launcher.png,8
2,android/app/src/main/res/mipmap-hdpi/ic_launcher.png,9
1,README.md,16
1,lib/settings/message_selector.dart,0
1,lib/settings/currency_selector.dart,31
1,lib/repository/repo_exceptions.dart,6
1,lib/commons/WebViewScreen.dart,27
1,lib/commons/slide_right_route.dart,28
1,ios/Runner/Runner-Bridging-Header.h,1
1,ios/Runner/Info.plist,45
1,ios/Runner/Base.lproj/Main.storyboard,26
1,ios/Runner/Base.lproj/LaunchScreen.storyboard,37
1,ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md,4
1,ios/Runner/Assets.xcassets/LaunchImage.imageset/LaunchImage@3x.png,2
1,ios/Runner/Assets.xcassets/LaunchImage.imageset/LaunchImage@2x.png,2
1,ios/Runner/Assets.xcassets/LaunchImage.imageset/LaunchImage.png,2
1,ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json,23
1,ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json,122
1,ios/Runner/AppDelegate.swift,13
1,ios/Runner.xcworkspace/xcshareddata/WorkspaceSettings.xcsettings,8
1,ios/Runner.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist,8
1,ios/Runner.xcworkspace/contents.xcworkspacedata,7
1,ios/Runner.xcodeproj/xcshareddata/xcschemes/Runner.xcscheme,91
1,ios/Runner.xcodeproj/project.xcworkspace/xcshareddata/WorkspaceSettings.xcsettings,8
1,ios/Runner.xcodeproj/project.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist,8
1,ios/Runner.xcodeproj/project.xcworkspace/contents.xcworkspacedata,7
1,ios/Flutter/Release.xcconfig,1
1,ios/Flutter/Debug.xcconfig,1
1,ios/Flutter/AppFrameworkInfo.plist,26
1,ios/.gitignore,32
1,assets/napkin.svg,0
1,assets/logo.xd,499
1,assets/logo.svg,43
1,assets/logo.png,202
1,android/settings.gradle,11
1,android/settings_aar.gradle,1
1,android/build.gradle,31
1,android/app/src/profile/AndroidManifest.xml,7
1,android/app/src/main/res/xml/network_security_config.xml,3
1,android/app/src/main/res/values/styles.xml,18
1,android/app/src/main/res/mipmap-xxxhdpi/launcher_icon.png,18
1,android/app/src/main/res/mipmap-xxhdpi/launcher_icon.png,12
1,android/app/src/main/res/mipmap-xhdpi/launcher_icon.png,4
1,android/app/src/main/res/mipmap-mdpi/launcher_icon.png,8
1,android/app/src/main/res/mipmap-hdpi/launcher_icon.png,11
1,android/app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml,5
1,android/app/src/main/res/drawable/launch_background.xml,12
1,android/app/src/main/res/drawable-xxxhdpi/ic_launcher_foreground.png,41
1,android/app/src/main/res/drawable-xxxhdpi/ic_launcher_background.png,41
1,android/app/src/main/res/drawable-xxhdpi/ic_launcher_foreground.png,71
1,android/app/src/main/res/drawable-xxhdpi/ic_launcher_background.png,71
1,android/app/src/main/res/drawable-xhdpi/ic_launcher_foreground.png,42
1,android/app/src/main/res/drawable-xhdpi/ic_launcher_background.png,42
1,android/app/src/main/res/drawable-mdpi/ic_launcher_foreground.png,20
1,android/app/src/main/res/drawable-mdpi/ic_launcher_background.png,20
1,android/app/src/main/res/drawable-hdpi/ic_launcher_foreground.png,23
1,android/app/src/main/res/drawable-hdpi/ic_launcher_background.png,23
1,android/app/src/main/kotlin/com/lioland/napkin/MainActivity.kt,6
1,android/app/src/debug/AndroidManifest.xml,7
1,android/app/proguard-rules.pro,0
1,android/.gitignore,11
1,.metadata,10
1,.gitignore,119
